"DisplayName";"Description";"Path"
"Configure Private Link for Azure AD with private endpoints";"Private endpoints connect your virtual networks to Azure services without a public IP address at the source or destination. By mapping private endpoints to Azure AD, you can reduce data leakage risks. Learn more at: https://aka.ms/privateLinkforAzureADDocs. It should be only used from isolated VNETs to Azure services, with no access to the Internet or other services (M365).";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Azure Active Directory/PrivateLinkForAzureAD_PrivateEndpoint_DeployIfNotExists.json"
"Configure Private Link for Azure AD to use private DNS zones";"Use private DNS zones to override the DNS resolution for a private endpoint. A private DNS zone links to your virtual network to resolve to Azure AD. Learn more at: https://aka.ms/privateLinkforAzureADDocs.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Azure Active Directory/PrivateLinkForAzureAD_PrivateLinkDns_DeployIfNotExists.json"
