"DisplayName";"Description";"Path"
"[Preview]: Assign Built-In User-Assigned Managed Identity to Virtual Machines";"Create and assign a built-in user-assigned managed identity or assign a pre-created user-assigned managed identity at scale to virtual machines. For more detailed documentation, visit aka.ms/managedidentitypolicy.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Managed Identity/ManagedIdentity_VM_UAI_DeployIfNotExists.json"
"[Preview]: Assign Built-In User-Assigned Managed Identity to Virtual Machine Scale Sets";"Create and assign a built-in user-assigned managed identity or assign a pre-created user-assigned managed identity at scale to virtual machine scale sets. For more detailed documentation, visit aka.ms/managedidentitypolicy.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Managed Identity/ManagedIdentity_VMSS_UAI_DeployIfNotExists.json"
