"DisplayName";"Description";"Path"
"[Preview]: Configure Azure Recovery Services vaults to use private DNS zones";"Use private DNS zones to override the DNS resolution for a private endpoint. A private DNS zone links to your virtual network to resolve to Recovery Services Vaults. Learn more at: https://aka.ms/privatednszone.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Site Recovery/SiteRecovery_PrivateDnsZones_DeployIfNotExist.json"
"[Preview]: Configure private endpoints on Azure Recovery Services vaults";"Private endpoints connect your virtual network to Azure services without a public IP address at the source or destination. By mapping private endpoints to your site recovery resources of Recovery Services vaults, you can reduce data leakage risks. To use private links, managed service identity must be assigned to Recovery Services Vaults. Learn more about private links at: https://docs.microsoft.com/azure/site-recovery/azure-to-azure-how-to-enable-replication-private-endpoints.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Site Recovery/SiteRecovery_PrivateEndpoints_DeployIfNotExist.json"
